PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,PlanetDensity,HostStarLuminosity
,0.10115,2.549575,,,,0.547,0.492,,3799.0,0.7459852430555557,50420526895913.83
,0.15766,13.969457,,,,0.547,0.492,,3799.0,0.7459852430555557,50420526895913.83
,0.09386,5.212333,,,,0.547,0.492,,3799.0,0.7459852430555557,50420526895913.83
,0.212,6.1799844,,,,0.86,0.81,0.01,5215.0,0.7459852430555557,485274296653835.2
0.161,0.515,3.4876812,0.0474,0.086,,1.17,1.56,,5667.0,1.1787024572468696,2509932529965776.5
,0.112,6.02976,0.0684,,,1.17,1.56,,5667.0,0.7459852430555557,2509932529965776.5
,0.23238,15.906801,,,,0.737,0.807,,5094.0,0.7459852430555557,438513362610786.3
,0.2096,4.973456,,,,0.737,0.807,,5094.0,0.7459852430555557,438513362610786.3
2.93,,290.0,0.81,0.27,372.6,0.83,1.6,-1.9,6040.0,0.7459852430555557,3407122274713600.5
0.78,,6.95,0.07,0.35,1263.2,0.83,1.6,-1.9,6040.0,0.7459852430555557,3407122274713600.5
3.71,,344.95,1.02,0.68,868.8,1.68,22.9,-0.09,4300.0,0.7459852430555557,1.79285343241e+17
,0.502,51.92927591,,,,0.93,0.91,-0.06,5602.0,0.7459852430555557,815558658046392.9
,0.23785,21.963945,,,,0.93,0.976,,5774.0,0.7459852430555557,1058782497621550.0
,0.26883,125.596809,,,,0.93,0.976,,5774.0,0.7459852430555557,1058782497621550.0
,0.276,20.38177573,,,,0.81,0.77,-0.02,5020.0,0.7459852430555557,376527168958864.0
,0.28342,9.488015,,,,0.92,1.091,,5854.0,0.7459852430555557,1397849365209717.8
,0.27704,54.418694,,,,0.92,1.091,,5854.0,0.7459852430555557,1397849365209717.8
,0.231,2.05387982,,,,1.02,1.03,0.05,5830.0,0.7459852430555557,1225599763393489.0
,0.11574,11.829851,,,,0.925,0.884,,5654.0,0.7459852430555557,798597132845461.4
,0.15674,14.751166,,,,0.925,0.884,,5654.0,0.7459852430555557,798597132845461.4
,0.136,9.5085156,,,,1.25,1.4,0.04,6337.0,0.7459852430555557,3160755482059931.0
3.91,,15.76491,0.113,0.0416,,0.8,0.855,-0.24,5188.0,0.7459852430555557,529580638762189.5
,0.456,5.42474928,,,,0.6,0.59,-0.22,4188.0,0.7459852430555557,107085511465511.95
,0.252,2.16845259,,,,1.01,1.0,-0.02,5837.0,0.7459852430555557,1160803671983761.0
5.76,,103.95,0.45,0.307,,1.12,1.14,0.12,6046.0,0.7459852430555557,1736529934145276.0
0.42,,3.5098,0.046,0.024,,1.05,1.25,0.29,,0.7459852430555557,1058782497621550.0
1.4,,792.6,1.9,0.19,,1.55,5.5,0.06,4854.0,0.7459852430555557,1.6792852252468644e+16
0.672,1.194,3.1810781,0.04131,0.101,,0.929,0.922,0.01,5498.0,0.3947810453381921,776749145457382.9
,0.233,18.87064068,,,,1.06,1.09,-0.01,5975.0,0.7459852430555557,1514274588426601.8
1.9,,6.276,0.071,0.14,1017.7,1.2,1.14,0.24,5767.0,0.7459852430555557,1437505477854894.2
,0.092,3.91795101,,,,0.96,0.94,0.03,5643.0,0.7459852430555557,895975033788905.0
3.635,,625.1,1.486,0.3728,,1.121,1.117,0.302,5936.0,0.7459852430555557,1549108779583406.8
6.9,,4684.0,5.69,0.051,,1.121,1.117,0.302,5936.0,0.7459852430555557,1549108779583406.8
5.02,,163.91,0.6,0.61,357.1,1.06,1.27,0.26,5714.0,0.7459852430555557,1719366204553642.5
,0.181,10.12804789,,,,0.95,0.93,-0.09,5706.0,0.7459852430555557,916838762697196.4
,0.089,20.3505213,,,,1.02,1.02,0.02,5839.0,0.7459852430555557,1209356225300072.2
,0.17315,20.739886,,,,,0.782,,5128.0,0.7459852430555557,422868730712716.8
,0.20413,47.427737,,,,,0.782,,5128.0,0.7459852430555557,422868730712716.8
,0.822,3.04033042,,,,0.84,0.8,-0.01,5181.0,0.7459852430555557,461141643585997.5
6.1,,522.3,1.4,0.19,,1.4,38.3,-0.27,4126.0,0.7459852430555557,4.251228440520256e+17
,0.16768,18.794234,,,,,0.48,,3682.0,0.7459852430555557,42346508809277.03
,0.10936,6.738975,,,,,0.48,,3682.0,0.7459852430555557,42346508809277.03
,0.108445,68.9584,,,,0.92,0.89,0.08,5460.0,0.7459852430555557,703964216840976.0
0.68,1.72,3.10129,0.04516,0.0,1702.0,1.277,1.52,0.28,6075.0,0.1336360320474927,3146822921902500.0
0.00409,0.10298,15.09,,,,1.17,1.55,,6090.0,3.745110580980895,3304704005768025.0
0.00472,0.10298,22.804,,,,1.17,1.55,,6090.0,4.321985804946168,3304704005768025.0
0.46,1.045,3.722469,0.0439,0.0,943.2,0.82,0.81,0.13,4974.0,0.4030964378652583,401599498207550.06
,0.18,13.32388301,,,,0.7,0.66,-0.13,4554.0,0.7459852430555557,187352708614062.4
1.98,1.337,0.8378434,0.01761,0.166,,1.037,1.02,0.28,5600.0,0.8284589011746327,1023180963840000.0
,0.185,13.72465129,,,,1.04,1.11,0.04,5865.0,0.7459852430555557,1457867395829885.2
2.75,1.415,0.9689951,0.02044,,,1.211,1.36,-0.002,6236.0,0.9706515988595196,2797062964188495.0
,0.236,21.05358596,,,,1.01,1.01,0.03,5808.0,0.7459852430555557,1160778026526710.2
,0.58,127.9075774,,,,1.01,1.01,0.03,5808.0,0.7459852430555557,1160778026526710.2
,0.118,6.2171292,,,,1.01,1.01,0.03,5808.0,0.7459852430555557,1160778026526710.2
,0.178,9.66857723,,,,0.99,0.96,0.13,5636.0,0.7459852430555557,929878922773109.2
0.025,0.199,9.5521,0.09012,0.3,,1.07,1.18,-0.24,6290.0,3.1723476857533286,2179548795467044.0
0.063,0.352,21.0576,0.1526,0.23,,1.07,1.18,-0.24,6290.0,1.4444834123779116,2179548795467044.0
,0.085,3.27346074,,,,0.51,0.49,-0.33,3864.0,0.7459852430555557,53523022564524.44
,0.142,9.32414,0.0731,,,0.64,0.6,-0.11,4043.0,0.7459852430555557,96187240631088.36
,0.171,15.5012,0.1026,,,0.64,0.6,-0.11,4043.0,0.7459852430555557,96187240631088.36
,0.188,11.13125132,,,,1.19,1.38,0.34,5839.0,0.7459852430555557,2213665893369336.0
,0.1,1.22486632,,,,0.82,0.79,-0.19,5282.0,0.7459852430555557,485789104546126.2
,0.141,31.5922646,,,,1.0,1.32,0.07,5674.0,0.7459852430555557,1805947779842860.5
0.57,1.39,4.411953,0.0567,0.0,1305.2,1.25,1.28,0.04,6230.0,0.2122415726132411,2468153272582144.0
,0.33627,7.381998,,,,0.97,0.939,,5560.0,0.7459852430555557,842617259959196.0
,0.25425,12.56093,,,,0.97,0.939,,5560.0,0.7459852430555557,842617259959196.0
,0.28433,30.826557,,,,0.97,0.939,,5560.0,0.7459852430555557,842617259959196.0
,0.11391,3.428054,,,,0.97,0.939,,5560.0,0.7459852430555557,842617259959196.0
,0.232,4.99678284,,,,0.86,0.82,0.03,5264.0,0.7459852430555557,516287044522108.5
7.341,1.281,2.2437661,0.036,0.087,1718.8,1.211,1.306,,6462.0,3.49227017394604,2974090423755704.0
,0.261,3.16789194,,,,0.97,0.96,0.01,5692.0,0.7459852430555557,967390975632841.2
1.6,,311.6,1.2,0.129,,2.5,12.02,0.0,4844.0,0.7459852430555557,7.954730546531662e+16
0.18,1.37,4.178062,0.052,,,1.08,1.39,,5620.0,0.0700020572826834,1927413350163856.0
,1.259,27.80756293,,,,0.81,0.78,-0.26,5330.0,0.7459852430555557,491018710559364.06
,0.272,14.5539759,,,,1.3,1.47,0.06,6383.0,0.7459852430555557,3587022057049812.5
,0.22145,8.005777,,,,1.06,0.949,,6031.0,0.7459852430555557,1191488181084205.2
,0.11756,4.263742,,,,1.06,0.949,,6031.0,0.7459852430555557,1191488181084205.2
,0.147,2.4370333,,,,1.01,1.01,0.06,5761.0,0.7459852430555557,1123658259582969.2
4.87,1.12,52.50097,0.3034,0.535,,1.353,4.16,-0.07,4850.0,3.466369806851311,9575327032960002.0
2.43,,406.2,,0.498,,1.353,4.16,-0.07,4850.0,0.7459852430555557,9575327032960002.0
0.22,0.764,288.822,1.0896,0.182,,,,,,0.4933357692758663,1058782497621550.0
169.7,,39.8449,0.24,0.057,,1.0,,,5823.0,0.7459852430555557,1058782497621550.0
,0.18317,8.187399,,,,0.9,0.862,,5250.0,0.7459852430555557,564484141265625.0
,0.15857,76.050178,,,,0.9,0.862,,5250.0,0.7459852430555557,564484141265625.0
,0.188,41.6979976,,,,1.06,1.02,-0.09,6035.0,0.7459852430555557,1380096457972850.2
0.679,1.399,4.166286,0.0525,0.0,1377.0,1.112,1.209,0.09,5948.0,0.2479799858048733,1829516965393824.8
0.022,,2.64561,0.0287,0.08,565.4,0.45,0.43,,3314.0,0.7459852430555557,22302160014865.035
,0.142,9.54927542,,,,0.33,0.33,-0.31,3519.0,0.7459852430555557,16699556869573.36
9.71,,131.05,0.495,0.708,327.8,0.93,,0.14,5453.0,0.7459852430555557,1058782497621550.0
,0.214,5.83376092,,,,1.0,1.0,0.04,5754.0,0.7459852430555557,1096173831722256.0
,0.37272,9.439452,,,,0.773,0.768,,5100.0,0.7459852430555557,399027791462400.0
,0.35905,20.477912,,,,0.773,0.768,,5100.0,0.7459852430555557,399027791462400.0
,0.14945,3.33616,,,,0.773,0.768,,5100.0,0.7459852430555557,399027791462400.0
,0.19,44.96417488,,,,0.81,0.75,0.09,4861.0,0.7459852430555557,314068956143085.6
,0.20687,7.650254,,,,0.879,0.742,,5413.0,0.7459852430555557,472672046213928.7
,0.21689,34.260281,,,,0.879,0.742,,5413.0,0.7459852430555557,472672046213928.7
,0.154,1.55400393,,,,0.879,0.742,,5413.0,0.7459852430555557,472672046213928.7
,0.246,33.1995648,,,,0.86,0.81,-0.06,5279.0,0.7459852430555557,509538126329040.56
,0.383,1.90220856,,,,0.93,0.92,0.14,5447.0,0.7459852430555557,745083859944061.5
0.59,1.42,3.52254,0.0483,0.0,1519.5,1.13,1.45,0.05,6251.0,0.2060568130065854,3210214115872877.0
2.18,1.466,2.7908327,0.0423,,1840.0,1.296,1.428,,6566.0,0.6919179265897527,3790180810340567.0
,0.226,6.61833,,,,1.06,1.028,,5885.0,0.7459852430555557,1267570426093798.0
,0.3545,107.723601,,,,1.06,1.028,,5885.0,0.7459852430555557,1267570426093798.0
,0.216,6.53192704,,,,0.89,0.85,0.0,5403.0,0.7459852430555557,615712146978820.5
,0.339,100.8274113,,,,0.89,0.85,0.0,5403.0,0.7459852430555557,615712146978820.5
,0.793,52.75875577,,,,1.09,1.13,0.09,5954.0,0.7459852430555557,1604693924003541.5
2.3,,263.6,0.83,0.377,291.4,1.07,1.12,0.29,5742.0,0.7459852430555557,1363605668695723.8
1.57,,1708.0,2.56,0.031,167.5,1.07,1.12,0.29,5742.0,0.7459852430555557,1363605668695723.8
,0.14763,2.46236,,,,0.976,1.195,,5696.0,0.7459852430555557,1503196421044987.5
,0.21324,4.822962,,,,0.976,1.195,,5696.0,0.7459852430555557,1503196421044987.5
1.83,,460.1,,0.3,177.7,0.828,0.73,0.08,4965.0,0.7459852430555557,323834214212933.0
3.2,,910.7,,0.12,140.7,0.828,0.73,0.08,4965.0,0.7459852430555557,323834214212933.0
0.378,1.115,2.7817387,0.0379,0.0,1369.0,0.938,0.976,-0.23,5600.0,0.2726887352770401,936810486169600.0
1.0,1.09,3.2467293,0.0446,,,1.12,1.35,0.42,5800.0,0.7721834800610642,2062431396000000.0
5.45,,39.475,0.228,0.423,,1.02,1.22,0.25,5688.0,0.7459852430555557,1557966131104908.8
,0.227,38.5053398,,,,0.92,0.9,-0.11,5629.0,0.7459852430555557,813223674920513.6
,0.17,16.29595382,,,,0.98,0.97,0.0,5727.0,0.7459852430555557,1012167063444118.0
,0.117,1.92279873,,,,0.84,0.8,-0.03,5191.0,0.7459852430555557,464712216501351.1
1.22,,3.634433,0.0494,,,1.22,1.36,-0.09,6272.0,0.7459852430555557,2862213431796800.5
,0.23785,8.20395,,,,0.72,0.85,,5020.0,0.7459852430555557,458830965715600.0
,0.18226,14.496481,,,,0.72,0.85,,5020.0,0.7459852430555557,458830965715600.0
,0.188,8.51203588,,,,0.96,0.88,-0.23,5842.0,0.7459852430555557,902010420667576.4
,0.143,23.8990296,,,,0.99,0.98,0.04,5722.0,0.7459852430555557,1029540807521097.2
,0.261,82.177374,,,,1.18,1.28,0.03,6214.0,0.7459852430555557,2442895755722123.0
,1.175,41.40831347,,,,0.87,0.84,-0.06,5394.0,0.7459852430555557,597313513971203.0
,0.29162,7.930592,,,,1.089,1.035,,5679.0,0.7459852430555557,1114212879590378.4
,0.26063,16.665863,,,,1.089,1.035,,5679.0,0.7459852430555557,1114212879590378.4
,0.333,3.60930891,,,,0.94,0.93,-0.01,5635.0,0.7459852430555557,872050385954250.6
,0.143,2.37030743,,,,0.94,0.93,-0.01,5635.0,0.7459852430555557,872050385954250.6
6.2,1.91,0.448413,0.00838,,,0.39,1.39,,3740.0,0.8897983329484718,378021071959696.0
4.7,1.63,,662.0,,1600.0,0.39,1.39,,3740.0,1.0852631197343094,378021071959696.0
7.8,,1290.0,2.4,0.54,154.0,1.102,,0.19,5940.0,0.7459852430555557,1058782497621550.0
,0.948,39.64317811,,,,0.88,0.84,-0.01,5363.0,0.7459852430555557,583700089600205.0
,0.124,3.93766373,,,,1.64,2.55,0.06,6481.0,0.7459852430555557,1.1472245885264326e+16
,0.15,29.6193421,,,,0.94,0.96,-0.02,5631.0,0.7459852430555557,926583528040170.4
0.034099,0.319867,2.50806,,,,0.81,0.76,0.34,4781.0,1.0419174974834278,301788133710376.1
9.83346,,820.3,,,,0.81,0.76,0.34,4781.0,0.7459852430555557,301788133710376.1
5.4,,26.468,0.21,0.036,,1.87,6.26,-0.08,5130.0,0.7459852430555557,2.714051766151443e+16
,0.194,9.33646594,,,,0.72,0.69,0.02,4500.0,0.7459852430555557,195230756250000.0
17.4,,255.87,0.83,0.435,277.6,1.13,1.02,0.37,5750.0,0.7459852430555557,1137291314062500.0
2.44,,1383.4,2.55,0.267,159.6,1.13,1.02,0.37,5750.0,0.7459852430555557,1137291314062500.0
,0.155,4.85386933,,,,1.11,1.14,0.06,6028.0,0.7459852430555557,1715942288152867.5
,0.373,42.3514267,,,,1.45,1.74,0.02,6725.0,0.7459852430555557,6192523327445156.0
,0.274,61.0370117,,,,1.14,1.23,0.01,6167.0,0.7459852430555557,2188295748456198.8
,0.207,36.2919336,,,,1.08,1.12,0.02,6018.0,0.7459852430555557,1645298792437141.2
,0.31,1.673916,,0.24,,1.18,1.19,,6120.0,0.7459852430555557,1986550507581696.0
,0.353,33.51569,0.1875,,613.0,0.74,0.71,-0.69,5552.0,0.7459852430555557,478976854088227.2
85.2,,1951.0,3.17,0.638,,1.1,1.16,0.32,5886.0,0.7459852430555557,1615091046293525.5
,0.298,5.74347727,,,,0.95,0.93,-0.03,5660.0,0.7459852430555557,887629284299664.1
0.805,1.461,2.1746742,0.0348,0.0,,1.19,1.341,0.0,6280.0,0.25813401269434,2797023599276751.5
4.4,,,1.2,,,0.37,,,,0.7459852430555557,1058782497621550.0
,0.178,3.69298373,,,,0.76,0.7,0.13,4598.0,0.7459852430555557,219014035649479.8
,0.151,5.70940492,,,,0.76,0.7,0.13,4598.0,0.7459852430555557,219014035649479.8
,0.644,219.3217528,,,,1.11,1.14,0.08,6000.0,0.7459852430555557,1684281599999999.8
,0.261,16.08524954,,,,0.8,0.77,-0.08,5071.0,0.7459852430555557,392063030510223.6
,0.23,9.878482,,,,1.12,1.18,-0.03,6150.0,0.7459852430555557,1991885993302500.0
,0.133,12.4127754,,,,1.17,1.36,0.05,6129.0,0.7459852430555557,2609974727997547.0
,0.234,26.85328322,,,,0.87,0.83,-0.01,5315.0,0.7459852430555557,549755091455020.5
,0.499,71.52530845,,,,0.77,0.73,-0.01,4834.0,0.7459852430555557,290986140661860.1
2.26,1.3,2.72474,0.0417,0.0,1867.0,1.29,1.945,,6200.0,1.0286754665452889,5589924849640000.0
,0.72,49.76971,0.2672,,,1.027,1.27,0.11,,0.7459852430555557,1058782497621550.0
,0.12029,34.989262,,,,0.547,0.556,,4262.0,0.7459852430555557,102000749902505.4
,0.09386,7.054346,,,,0.547,0.556,,4262.0,0.7459852430555557,102000749902505.4
1.11,,1179.0,2.2,0.12,,1.03,1.67,0.39,5577.0,0.7459852430555557,2697960085325907.5
,0.258,30.8638931,,,,1.19,1.65,-0.06,6112.0,0.7459852430555557,3799279731026165.5
,0.205,17.96753,0.119,,487.0,0.71,0.66,0.15,4320.0,0.7459852430555557,151713021689856.0
3.194,,2293.0,3.471,0.44,,1.061,0.98,0.31,5752.0,0.7459852430555557,1051302412166628.8
,0.204,14.48585199,,,,1.01,1.05,0.01,5813.0,0.7459852430555557,1258867118519754.5
4.59,1.438,1.21986967,0.02558,0.0,2451.5,1.495,1.444,0.1,7400.0,1.5436044694918774,6252608913433600.0
,0.114,1.06378867,,,,0.82,0.78,-0.03,5105.0,0.7459852430555557,413211301432400.3
0.076,,30.6,0.1434,0.09,,0.42,0.404,0.02,3466.0,0.7459852430555557,23554666722184.125
0.07,,123.98,0.3644,0.37,,0.42,0.404,0.02,3466.0,0.7459852430555557,23554666722184.125
0.027,,48.14,0.1939,0.13,,0.42,0.404,0.02,3466.0,0.7459852430555557,23554666722184.125
,0.202,11.02347475,,,,0.55,0.53,0.11,3768.0,0.7459852430555557,56623318159494.766
0.66,1.4,6.24668005,0.0726,0.0519,,1.31,6.3,0.11,4550.0,0.2405247813411079,1.70108762630625e+16
,0.141,3.40165668,,,,1.14,1.21,0.04,6133.0,0.7459852430555557,2071393453636306.5
1.45,,2208.0,3.25,0.12,137.7,0.94,1.0,-0.12,5737.0,0.7459852430555557,1083276693622561.0
12.0,,,,,,0.35,,,3840.0,0.7459852430555557,1058782497621550.0
,0.188,19.15344,0.1408,,889.0,1.01,1.12,-0.5,6445.0,0.7459852430555557,2164351194217744.0
0.27619,0.2661,17.324,,,,1.19,1.65,,5946.0,14.657953053159488,3403043557411809.0
0.20856,0.3062,33.006,,,,1.19,1.65,,5946.0,7.264662773040192,3403043557411809.0
,0.222,28.625653,,,,0.94,0.91,0.03,5566.0,0.7459852430555557,794795853376006.1
2.2,,,,,,0.18,,,,0.7459852430555557,1058782497621550.0
,0.25699,10.218558,,,,1.04,1.127,,6099.0,0.7459852430555557,1757447521284714.8
,0.24241,54.155743,,,,1.04,1.127,,6099.0,0.7459852430555557,1757447521284714.8
,0.26792,40.101371,,,,1.04,1.127,,6099.0,0.7459852430555557,1757447521284714.8
,0.151,33.2406882,,,,0.9,0.86,-0.02,5446.0,0.7459852430555557,650590100219023.4
0.11,,,2.7,,,0.56,,,5500.0,0.7459852430555557,1058782497621550.0
